,Diameter (km),Long,Lat,tag
1794,9.26590064111,-17.3692159796,-43.9456784948,?
1795,13.7187392164,-18.0103300627,-44.2021241281,standard
1796,7.20092322251,-18.5925877709,-43.7848744707,standard
1797,6.39414049536,-18.0996656316,-44.826422104,standard
1798,7.489449006,-19.6110132569,-43.938321448,standard
1799,6.8410665941,-19.3440575568,-45.0639496167,standard
1800,8.1717412223,-20.3498709625,-44.8274731107,standard
1801,5.07097806005,-20.9899340388,-44.5962516381,standard
1802,5.68976832796,-18.4748750212,-46.9074153572,standard
1803,6.20424941915,-17.5794173183,-45.8280314829,standard
1804,7.43186955198,-18.0008710024,-45.7355428939,?
1805,7.56286385207,-16.9887515566,-46.49647174,?
1806,19.5590250812,-16.2625059314,-46.0582019488,standard
1807,15.5807121917,-15.7611757385,-46.729795226,?
1808,7.48799628784,-9.83770201386,-48.674157609,standard
1809,12.1611134986,-11.8787570127,-47.4886220587,standard
1810,11.6188697,-12.1415086861,-47.045097234,standard
1811,8.70376432058,-13.170444239,-47.5579885005,standard
1812,6.53299433256,-13.6875395322,-48.7487790842,standard
1813,14.3339612889,-15.440618697,-48.4229670092,standard
1814,9.21750745239,-16.1227220411,-48.0488086263,?
1815,12.4019352929,-16.9929555833,-47.5548354804,standard
1816,7.44743397873,-16.5420737118,-47.7555777589,standard
1817,15.538538882,-17.450143495,-48.1465522488,standard
1818,6.09162960824,-17.5047958431,-48.5459347924,standard
1819,12.8362770838,-18.5043032086,-48.6846676759,standard
1820,7.14071835145,-19.0382146089,-47.1060556223,?
1821,8.55187587328,-21.3840615489,-47.1375858231,standard
1822,7.14428940298,-21.2915729598,-47.4003374964,standard
1823,15.4399277404,-20.9563018246,-47.9468609771,standard
1824,11.7828459106,-19.549003862,-49.6064005461,?
1825,7.05707864714,-19.9657906519,-50.0653027911,?
1826,8.14747673028,-15.1957341374,-49.2953025649,standard
1827,10.2798644494,-12.724817401,-48.8822569343,standard
1828,7.53504086484,-10.8708415936,-49.4193213547,?
1829,15.3322883105,-10.9433610554,-49.8649481928,?
1830,10.4692954669,-11.8041355374,-50.7015495208,standard
1831,10.5747587152,-12.6407368655,-50.6616112664,standard
1832,6.01287644755,-13.6171220838,-50.7467428086,standard
1833,5.41104209963,-16.3339743865,-50.8213642839,standard
1834,5.204067503,-18.9951233345,-50.7992931433,?
1835,5.54878514753,-12.2657567225,-49.9164438536,standard
1836,6.29777314324,-19.2752076547,-50.3371525047,?
1837,6.381370093,-17.3791993553,-45.1119655787,?
1838,10.9400336352,-15.4166300918,-42.5713409917,?
1839,14.7647910562,-30.1765466039,-43.2609456305,standard
1840,16.0507034188,-29.0808760643,-42.8217476699,?
1841,14.935811773,-26.0844371431,-42.6628759851,?
1842,7.96309092413,-23.1576915196,-42.3797418133,standard
1843,8.02106543775,-23.5998322009,-42.4525770531,?
1844,6.59440294454,-23.8193637689,-42.5623428371,?
1845,9.52149297424,-24.3794770217,-43.65794898,standard
1846,5.45425319265,-22.9063586498,-43.1029649694,standard
1847,17.5036462611,-22.8294200161,-43.5194594395,standard
1848,5.68479851575,-24.7662218868,-43.8467050946,standard
1849,11.5336666665,-26.095721476,-44.9648799034,standard
1850,5.86656658757,-27.1102855915,-44.4273353164,standard
1851,8.20793668291,-28.2582100053,-44.5094031923,standard
1852,13.3544404721,-29.2809809084,-44.4847828295,?
1853,14.2158979975,-31.1582835691,-44.5853159774,standard
1854,8.70610911879,-33.0181468061,-45.4121498269,standard
1855,11.8096654836,-30.6925483735,-45.7537573602,standard
1856,13.1455132259,-30.0483155479,-45.9691855344,standard
1857,7.23240352646,-29.2553346972,-45.9014795368,standard
1858,12.6597378143,-28.7116350195,-45.270582741,standard
1859,5.85099806442,-25.7961737291,-46.6749692669,standard
1860,6.04645614263,-25.7264160346,-46.1846137086,?
1861,11.2611249025,-26.1029024151,-46.2584747969,?
1862,10.7420657819,-24.4492347162,-45.1936441074,standard
1863,6.11151496889,-24.4728292306,-45.5219156109,standard
1864,13.8455029085,-24.5343801375,-46.514936909,standard
1865,5.4071950339,-23.2028288514,-45.4080464331,?
1866,5.15693512105,-22.7494038372,-46.7980710808,standard
1867,8.1194982234,-22.5493633897,-47.121213342,standard
1868,11.3916795363,-23.3505510279,-47.3510033945,standard
1869,7.26187909751,-23.7455026806,-47.599258719,?
1870,6.31148271989,-25.308895716,-48.1409066998,standard
1871,6.90677098996,-26.6342919114,-47.3961407262,standard
1872,16.9010474718,-26.532732915,-47.7028694123,standard
1873,8.89172816691,-29.3712555719,-48.3378696019,standard
1874,6.41299313779,-31.1141720858,-48.4107048417,standard
1875,8.88723533254,-31.3962804091,-48.3942912665,standard
1876,8.69337377948,-31.7614824568,-47.5582247811,standard
1877,9.06652836833,-32.3616037991,-48.0095980984,standard
1878,5.69048733109,-33.2982034326,-49.5401639835,standard
1879,14.2002998648,-31.5481059795,-49.3113997795,?
1880,9.81629658053,-30.9038731539,-49.3165290217,?
1881,7.80211482131,-30.3170878414,-49.2467713272,standard
1882,8.3324270623,-26.7112305451,-48.6220296221,?
1883,8.29818291054,-24.9375385777,-48.6569084693,standard
1884,15.0773734771,-23.7013911973,-49.0969974537,standard
1885,9.69365275827,-23.279767485,-48.6025385016,standard
1886,5.83697524456,-22.5237171785,-48.4332735076,standard
1887,5.31040381572,-26.5317070666,-50.614227309,standard
1888,9.76507216754,-25.8597763329,-50.9240335404,standard
1889,9.25830833005,-31.1952141132,-50.6860367004,standard
1890,17.4824412677,-30.4451279307,-51.3618118354,standard
1891,7.27851924463,-26.3175801312,-52.4463971488,standard
1892,7.76517892213,-25.5356424025,-51.85287815,?
1893,6.90847200659,-23.3228999445,-52.0224550068,standard
1894,8.21490697474,-22.7058286044,-53.3107680717,standard
1895,7.36461326719,-22.466772341,-53.0976193836,?
1896,5.43421779802,-24.7525270568,-53.8583600052,?
1897,7.13743836542,-27.4021654445,-54.2304869965,standard
1898,19.1193059113,-28.6987218289,-53.5015420356,?
1899,14.1816336443,-31.2959153609,-53.4831790358,standard
1900,10.5140704544,-30.1730983896,-54.7368623329,?
1901,7.24254919947,-29.5901779443,-56.0133992272,standard
1902,6.32154483675,-26.9746904513,-54.8216507613,standard
1903,7.58963386229,-27.4469148929,-56.3584410261,standard
1904,8.30960729178,-23.9647012429,-55.9015256064,standard
1905,7.42391398131,-24.27441453,-57.9729540171,standard
1906,6.10581591945,-25.2624352443,-56.8895463207,standard
1907,6.77885828744,-26.0808791019,-58.0447886578,standard
1908,11.2889400982,-29.6561244997,-56.4868012858,?
1909,13.9351526225,-30.6099943193,-56.5574583095,standard
1910,14.5999731307,-30.7842816443,-58.1908131734,standard
1911,5.57790250306,-33.220771344,-57.299357058,standard
1912,7.70640214761,-31.509693754,-59.1093544811,?
1913,8.35991691371,-29.4818371746,-58.6241762519,standard
1914,6.62174484588,-25.351934141,-58.3839423714,standard
1915,6.0869603221,-24.9644981278,-58.4263365856,standard
1916,8.1003790091,-25.3813745675,-59.1223082688,standard
1917,9.14004774889,-24.448701855,-58.7360498727,?
